features,accuracies
f0_contour,0.7207977207977208
f0_contour,0.7116571699905033
f0_contour,0.735636277302944
f0_contour,0.7363485280151947
f0_contour,0.7171177587844255
f0_contour,0.7177113010446344
f0_contour,0.7399097815764483
f0_contour,0.7082146248812915
f0_contour,0.749525166191833
f0_contour,0.7367046533713201
spectral_skewness,0.8295346628679962
spectral_skewness,0.816358024691358
spectral_skewness,0.8220560303893638
spectral_skewness,0.806386514719848
spectral_skewness,0.8353513770180437
spectral_skewness,0.8132716049382717
spectral_skewness,0.8189696106362773
spectral_skewness,0.8005698005698005
spectral_skewness,0.8322649572649573
spectral_skewness,0.7997388414055081
spectral_spread,0.8034188034188033
spectral_spread,0.8355887939221273
spectral_spread,0.8254985754985755
spectral_spread,0.8130341880341879
spectral_spread,0.8057929724596392
spectral_spread,0.8221747388414057
spectral_spread,0.835232668566002
spectral_spread,0.8256172839506174
spectral_spread,0.8256172839506174
spectral_spread,0.7908357075023741
rms,0.8670465337132005
rms,0.892212725546059
rms,0.8980294396961063
rms,0.8827160493827161
rms,0.8729819563152897
rms,0.8665716999050334
rms,0.8734567901234568
rms,0.8853276353276353
rms,0.8795109211775879
rms,0.8637226970560304
envelope derivative,0.9395773979107312
envelope derivative,0.9429012345679014
envelope derivative,0.9204653371320038
envelope derivative,0.9047958214624882
envelope derivative,0.9335232668566001
envelope derivative,0.9239078822412156
envelope derivative,0.9172602089268755
envelope derivative,0.9110873694207028
envelope derivative,0.9300807217473884
envelope derivative,0.9237891737891738
envelope,0.933641975308642
envelope,0.9427825261158596
envelope,0.9489553656220323
envelope,0.9329297245963913
envelope,0.9526353276353277
envelope,0.9364909781576448
envelope,0.9462250712250713
envelope,0.9456315289648624
envelope,0.939696106362773
envelope,0.9301994301994302
spectral_slope,0.9680674264007597
spectral_slope,0.9586894586894587
spectral_slope,0.9394586894586895
spectral_slope,0.958570750237417
spectral_slope,0.9554843304843307
spectral_slope,0.9556030389363723
spectral_slope,0.9553656220322887
spectral_slope,0.9521604938271606
spectral_slope,0.9490740740740741
spectral_slope,0.9526353276353277
spectral_flux,0.959045584045584
spectral_flux,0.9621320037986706
spectral_flux,0.9522792022792025
spectral_flux,0.9523979107312441
spectral_flux,0.9716286799620132
spectral_flux,0.9584520417853754
spectral_flux,0.930318138651472
spectral_flux,0.967948717948718
spectral_flux,0.9490740740740741
spectral_flux,0.9489553656220323
mfcc,0.974596391263058
mfcc,0.9842117758784426
mfcc,0.9621320037986704
mfcc,0.9684235517568851
mfcc,0.9681861348528016
mfcc,0.9716286799620133
mfcc,0.9711538461538461
mfcc,0.9839743589743589
mfcc,0.977920227920228
mfcc,0.967948717948718
spectral_centroid,0.9681861348528016
spectral_centroid,0.9807692307692308
spectral_centroid,0.9778015194681862
spectral_centroid,0.9744776828110163
spectral_centroid,0.9808879392212727
spectral_centroid,0.9776828110161443
spectral_centroid,0.9810066476733142
spectral_centroid,0.9807692307692308
spectral_centroid,0.983974358974359
spectral_centroid,0.9683048433048435
