conditions,decoding accuracy (%)
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,1.0
syllabic time scale,0.97
syllabic time scale,1.0
phonemic time scale,0.4866666666666667
phonemic time scale,0.5458333333333334
phonemic time scale,0.4945833333333333
phonemic time scale,0.4745833333333333
phonemic time scale,0.48375
phonemic time scale,0.5341666666666667
phonemic time scale,0.485
phonemic time scale,0.37375
phonemic time scale,0.5654166666666667
phonemic time scale,0.4841666666666667
