real,pred,conds,peaks
2.6000000000000005,3.0,syll,first
3.0000000000000004,3.0,syll,first
3.2,3.0,syll,first
5.2,6.0,syll,first
6.2,6.0,syll,first
6.2,6.0,syll,first
7.6000000000000005,9.0,syll,first
9.2,9.0,syll,first
9.0,9.0,syll,first
2.6000000000000005,6.0,phon,first
3.0000000000000004,7.5,phon,first
3.2,9.0,phon,first
5.2,12.0,phon,first
6.2,15.0,phon,first
6.2,18.0,phon,first
7.6000000000000005,18.0,phon,first
9.2,22.5,phon,first
9.0,27.0,phon,first
3.0,3.0,fake,first
3.0,3.0,fake,first
3.0,3.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
6.0,6.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
9.0,9.0,fake,first
6.000000000000001,3.0,syll,second
7.4,3.0,syll,second
8.0,3.0,syll,second
11.8,6.0,syll,second
13.8,6.0,syll,second
15.4,6.0,syll,second
17.0,9.0,syll,second
19.2,9.0,syll,second
21.400000000000002,9.0,syll,second
6.000000000000001,6.0,phon,second
7.4,7.5,phon,second
8.0,9.0,phon,second
11.8,12.0,phon,second
13.8,15.0,phon,second
15.4,18.0,phon,second
17.0,18.0,phon,second
19.2,22.5,phon,second
21.400000000000002,27.0,phon,second
6.0,6.0,fake,second
7.5,7.5,fake,second
9.0,9.0,fake,second
12.0,12.0,fake,second
15.0,15.0,fake,second
18.0,18.0,fake,second
18.0,18.0,fake,second
22.5,22.5,fake,second
27.0,27.0,fake,second
